ticker,company,drug_name,event_date,announcement_time,decision_type,market_cap_group,source_url,ticker_verified,exclude_reason
GERN,Geron,Rytelo (imetelstat),2024-06-06,,Approval,small,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,no,
MDGL,Madrigal Pharmaceuticals,Rezdiffra (resmetirom),2024-03-14,,Approval,mid,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,no,
VRNA,Verona Pharma,Ohtuvayre (ensifentrine),2024-06-26,,Approval,small,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,no,
DAWN,Day One Biopharmaceuticals,Ojemda (tovorafenib),2024-04-23,,Approval,small,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,no,
XFOR,X4 Pharmaceuticals,Xolremdi (mavorixafor),2024-04-26,,Approval,small,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,no,
IONS,Ionis Pharmaceuticals,Tryngolza (olezarsen),2024-12-19,,Approval,mid,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,no,
BBIO,BridgeBio Pharma,Attruby (acoramidis),2024-11-22,,Approval,mid,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,no,
CRNX,Crinetics Pharmaceuticals,Palsonify (paltusotine),2025-09-25,,Approval,small,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,no,
CYTK,Cytokinetics,Myqorzo (aficamten),2025-12-19,,Approval,mid,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,no,
INSM,Insmed,Brinsupri (brensocatib),2025-08-12,,Approval,mid,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,no,
KALV,KalVista Pharmaceuticals,Ekterly (sebetralstat),2025-07-03,,Approval,small,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,no,
NUVL,Nuvation Bio,Ibtrozi (taletrectinib),2025-06-11,,Approval,small,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,no,
ARWR,Arrowhead Pharmaceuticals,Redemplo (plozasiran),2025-11-18,,Approval,mid,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,no,verify sponsor
CORT,Corcept Therapeutics,Lifyorli (relacorilant),2026-03-25,,Approval,mid,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,no,
KRTX,Karuna Therapeutics,Cobenfy (xanomeline/trospium),2024-09-26,,Approval,mid,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,no,acquired by BMS 2024 verify data availability
AXSM,Axsome Therapeutics,Symbravo,2025-01-30,,Approval,small,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,no,verify drug/date
MIST,Milestone Pharmaceuticals,Cardamyst (etripamil),2025-12-12,,Approval,small,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,no,
AMLX,Amylyx Pharmaceuticals,Relyvrio (phenylbutyrate/taurursodiol),2022-09-29,,Approval,small,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2022,no,later withdrawn but approval event valid
MRTX,Mirati Therapeutics,Krazati (adagrasib),2022-12-12,,Approval,mid,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2022,no,acquired by BMS 2024 verify
AGIO,Agios Pharmaceuticals,Pyrukynd (mitapivat),2022-02-17,,Approval,mid,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2022,no,
CTIC,CTI BioPharma,Vonjo (pacritinib),2022-02-28,,Approval,small,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2022,no,acquired by SOBI 2023 verify
RETA,Reata Pharmaceuticals,Skyclarys (omaveloxolone),2023-02-28,,Approval,mid,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,no,acquired by Biogen 2023 verify
TVTX,Travere Therapeutics,Filspari (sparsentan),2023-02-17,,Approval,small,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,no,
ACAD,Acadia Pharmaceuticals,Daybue (trofinetide),2023-03-10,,Approval,mid,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,no,
SAGE,Sage Therapeutics,Zurzuvae (zuranolone),2023-08-04,,Approval,small,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,no,co-developed with Biogen verify